type	fct	Estimate	Std. Error	df	t value	Pr(>|t|)
formed	(Intercept)	68.988488903411	6.77876128533699	10.255841977983385	10.177152727392642	1.1035425260393921e-6
formed	days	-0.04922158194270104	0.01564855002842658	72.92793938600485	-3.1454404307930717	0.0024002942912545655
formed	experimentpost-Mars500	28.3911310993559	10.1988605708777	73.61887243890526	2.7837551952053596	0.00682475066818506
destroyed	(Intercept)	69.78616598860552	7.862916316037293	10.238567767848869	8.87535402688553	3.983016986389457e-6
destroyed	days	-0.04142084377917659	0.018064481320134756	72.96851099115072	-2.2929439846694475	0.02473495277477995
destroyed	experimentpost-Mars500	13.801479100000488	11.773821496204404	73.64574566803144	1.1722174575561344	0.24488782198528689
